N.test,b1.test,b2.test,varInt.test,varSlope_b1.test,varSlope_b2.test,varResid.test,power_b1,power_b2,r_x1,r_x2
60,0.05,0.05,0.01,0.01,0.01,0.01,0.997,1,0.263777108274344,0.32437451617042
60,0.05,0.05,0.01,0.01,0.01,0.1,0.961,0.984,0.153883134566685,0.191566613083114
60,0.05,0.05,0.01,0.01,0.01,0.2,0.895,0.954,0.118721086569088,0.149108730186156
60,0.05,0.05,0.01,0.01,0.01,0.3,0.788,0.887,0.0988768350379731,0.122558441448849
60,0.05,0.05,0.01,0.01,0.05,0.01,0.992,0.868,0.158654825288013,0.197083886286468
60,0.05,0.05,0.01,0.01,0.05,0.1,0.93,0.835,0.122782251429729,0.158892083316075
60,0.05,0.05,0.01,0.01,0.05,0.2,0.834,0.803,0.101930649582015,0.131173001069321
60,0.05,0.05,0.01,0.01,0.05,0.3,0.706,0.714,0.0868251446361904,0.111382646536873
60,0.05,0.05,0.01,0.01,0.1,0.01,0.951,0.793,0.120072157662983,0.166285806075976
60,0.05,0.05,0.01,0.01,0.1,0.1,0.856,0.764,0.102126475237399,0.140993072412252
60,0.05,0.05,0.01,0.01,0.1,0.2,0.761,0.744,0.0890381748469917,0.123180470700324
60,0.05,0.05,0.01,0.01,0.1,0.3,0.628,0.659,0.0798118095160407,0.106294132461669
60,0.05,0.05,0.01,0.05,0.01,0.01,0.874,0.997,0.187722363360946,0.226497555503691
60,0.05,0.05,0.01,0.05,0.01,0.1,0.796,0.978,0.132849603768111,0.166434824590541
60,0.05,0.05,0.01,0.05,0.01,0.2,0.705,0.948,0.107302862732242,0.133618098489221
60,0.05,0.05,0.01,0.05,0.01,0.3,0.668,0.89,0.0967024244107717,0.115107838020324
60,0.05,0.05,0.01,0.05,0.05,0.01,0.788,0.832,0.13554009338622,0.169181454690872
60,0.05,0.05,0.01,0.05,0.05,0.1,0.742,0.804,0.112090277437091,0.139265879753766
60,0.05,0.05,0.01,0.05,0.05,0.2,0.681,0.767,0.0969096350239552,0.123859489085492
60,0.05,0.05,0.01,0.05,0.05,0.3,0.57,0.708,0.0823110977638438,0.108645993095037
60,0.05,0.05,0.01,0.05,0.1,0.01,0.73,0.772,0.108513292348777,0.151370059197872
